text;query
C reactive protein [Mass/volume] in Serum or Plasma;glucose in blood
Bicarbonate [Moles/volume] in Blood;glucose in blood
Rh [Type] in Blood;glucose in blood
Trimethoprim+Sulfamethoxazole [Susceptibility];glucose in blood
Bilirubin.total [Mass/volume] in Serum or Plasma;glucose in blood
Blood group antibody screen [Presence] in Serum or Plasma;glucose in blood
Carbon dioxide, total [Moles/volume] in Blood;glucose in blood
Ciprofloxacin [Susceptibility];glucose in blood
Cortisol [Mass/volume] in Serum or Plasma;glucose in blood
Chloride [Moles/volume] in Serum or Plasma;glucose in blood
Protein C [Mass/volume] in Plasma;glucose in blood
Ampicillin [Susceptibility];glucose in blood
Glucose [Moles/volume] in Urine;glucose in blood
Amylase [Enzymatic activity/volume] in Serum or Plasma;glucose in blood
Lymphocytes [#/volume] in Blood;glucose in blood
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;glucose in blood
Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;glucose in blood
Blood product disposition [Type];glucose in blood
Glucose [Moles/volume] in Serum or Plasma;glucose in blood
Glucose [Moles/volume] in Pleural fluid;glucose in blood
Cholesterol [Mass/volume] in Serum or Plasma;glucose in blood
Bilirubin.direct [Mass/volume] in Serum or Plasma;glucose in blood
Leukocytes [#/volume] in Blood;glucose in blood
Glucose [Mass/volume] in Serum, Plasma or Blood;glucose in blood
Body temperature;glucose in blood
Blood product unit ID [#];glucose in blood
Bilirubin.total [Mass/volume] in Synovial fluid;glucose in blood
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;glucose in blood
Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;glucose in blood
Calcium.ionized [Moles/volume] in Blood;glucose in blood
Albumin [Mass/volume] in Serum or Plasma;glucose in blood
Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;glucose in blood
Bilirubin.indirect [Mass/volume] in Serum or Plasma;glucose in blood
Monocytes [#/volume] in Blood;glucose in blood
Ampicillin+Sulbactam [Susceptibility];glucose in blood
ABO & Rh group [Type] in Blood;glucose in blood
Major crossmatch [interpretation];glucose in blood
ABO group [Type] in Blood;glucose in blood
Cobalamin (Vitamin B12) [Mass/volume] in Serum;glucose in blood
Hematocrit [Volume Fraction] of Blood by Impedance;glucose in blood
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;glucose in blood
Chloride [Moles/volume] in Blood;glucose in blood
Tyrosine aminotransferase [Mass/volume] in Plasma;glucose in blood
C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;glucose in blood
Bilirubin.total [Presence] in Unspecified specimen;glucose in blood
Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;glucose in blood
Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma;glucose in blood
ABO group [Type] in Blood from Blood product unit;glucose in blood
Nitrofurantoin [Susceptibility];glucose in blood
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;glucose in blood
Blood product type;glucose in blood
Vancomycin [Susceptibility];glucose in blood
Lymphocytes/100 leukocytes in Blood;glucose in blood
Choriogonadotropin [Units/volume] in Serum or Plasma;glucose in blood
Calcium.ionized [Moles/volume] in Serum or Plasma;glucose in blood
Fasting glucose [Mass or Moles/volume] in Serum or Plasma;glucose in blood
Cholesterol in HDL [Mass/volume] in Serum or Plasma;glucose in blood
Albumin/Globulin [Mass ratio] in Serum or Plasma;glucose in blood
Carbon dioxide, total [Moles/volume] in Serum or Plasma;glucose in blood
Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;glucose in blood
Levofloxacin [Susceptibility];glucose in blood
Calcium [Mass/volume] in Serum or Plasma;glucose in blood
Calcium bilirubinate/Total in Stone;glucose in blood
Cefazolin [Susceptibility];glucose in blood
Gentamicin [Susceptibility];glucose in blood
Calcium [Moles/volume] corrected for albumin in Serum or Plasma;glucose in blood
Other Antibiotic [Susceptibility];glucose in blood
Blood product unit ID [#];bilirubin in plasma
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Carbon dioxide, total [Moles/volume] in Blood;bilirubin in plasma
Bicarbonate [Moles/volume] in Blood;bilirubin in plasma
Ciprofloxacin [Susceptibility];bilirubin in plasma
Ampicillin+Sulbactam [Susceptibility];bilirubin in plasma
Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;bilirubin in plasma
ABO & Rh group [Type] in Blood;bilirubin in plasma
Leukocytes [#/volume] in Blood;bilirubin in plasma
Bilirubin.direct [Mass/volume] in Serum or Plasma;bilirubin in plasma
Body temperature;bilirubin in plasma
C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;bilirubin in plasma
Cefazolin [Susceptibility];bilirubin in plasma
Calcium.ionized [Moles/volume] in Blood;bilirubin in plasma
Bilirubin.total [Mass/volume] in Serum or Plasma;bilirubin in plasma
Cholesterol [Mass/volume] in Serum or Plasma;bilirubin in plasma
Rh [Type] in Blood;bilirubin in plasma
Major crossmatch [interpretation];bilirubin in plasma
Nitrofurantoin [Susceptibility];bilirubin in plasma
Vancomycin [Susceptibility];bilirubin in plasma
Ampicillin [Susceptibility];bilirubin in plasma
Blood group antibody screen [Presence] in Serum or Plasma;bilirubin in plasma
ABO group [Type] in Blood from Blood product unit;bilirubin in plasma
Calcium [Mass/volume] in Serum or Plasma;bilirubin in plasma
Albumin/Globulin [Mass ratio] in Serum or Plasma;bilirubin in plasma
Carbon dioxide, total [Moles/volume] in Serum or Plasma;bilirubin in plasma
ABO group [Type] in Blood;bilirubin in plasma
Other Antibiotic [Susceptibility];bilirubin in plasma
Bilirubin.indirect [Mass/volume] in Serum or Plasma;bilirubin in plasma
