"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.487922705314,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.5083667216592,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.27699094497329,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.60580560487915,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.896565286860077,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.891592367302709,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.340002833356929,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.561429152790128,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.97385264653172,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.90663590717873,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.1252413609428,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.4287595470108,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.343988589646767,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.309364548494994,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.683504209385704,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.564020540449527,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.452034153691607,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.250000000000028,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.04120000617923,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.207932040461464,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.356684500891694,,
"CPALTT01","Consumer prices: all items","FRA","France","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.507758822937963,,
"CPALTT01","Consumer prices: all items","FRA","France","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.0375143805125534,,
"CPALTT01","Consumer prices: all items","FRA","France","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.183334861123878,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.90679703516796,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.514421011587011,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.49174862477083,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.31224241022506,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.73590237199746,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.825657589847188,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.227566270988392,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.0616446800641037,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.394769306686411,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.0446189470023,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.63305848405644,,
